DATE,HOANBS
1/1/1947,45.842
4/1/1947,45.853
7/1/1947,45.979
10/1/1947,46.424
1/1/1948,46.719
4/1/1948,46.7
7/1/1948,47.029
10/1/1948,46.596
1/1/1949,45.812
4/1/1949,45.058
7/1/1949,44.573
10/1/1949,44.382
1/1/1950,44.73
4/1/1950,45.836
7/1/1950,47.278
10/1/1950,47.715
1/1/1951,48.517
4/1/1951,48.906
7/1/1951,48.437
10/1/1951,48.461
1/1/1952,48.774
4/1/1952,48.569
7/1/1952,48.92
10/1/1952,50.218
1/1/1953,50.734
4/1/1953,50.827
7/1/1953,50.328
10/1/1953,49.542
1/1/1954,48.876
4/1/1954,48.51
7/1/1954,48.322
10/1/1954,48.921
1/1/1955,49.705
4/1/1955,50.358
7/1/1955,50.886
10/1/1955,51.497
1/1/1956,51.812
4/1/1956,51.923
7/1/1956,51.713
10/1/1956,52
1/1/1957,52.05
4/1/1957,51.939
7/1/1957,51.688
10/1/1957,50.622
1/1/1958,49.489
4/1/1958,48.762
7/1/1958,49.347
10/1/1958,50.084
1/1/1959,51.054
4/1/1959,52.02
7/1/1959,51.867
10/1/1959,51.882
1/1/1960,52.208
4/1/1960,52.295
7/1/1960,52.003
10/1/1960,51.528
1/1/1961,51.231
4/1/1961,51.113
7/1/1961,51.415
10/1/1961,52.066
1/1/1962,52.259
4/1/1962,52.88
7/1/1962,52.772
10/1/1962,52.448
1/1/1963,52.764
4/1/1963,53.101
7/1/1963,53.245
10/1/1963,53.661
1/1/1964,54.772
4/1/1964,55.013
7/1/1964,55.367
10/1/1964,55.906
1/1/1965,56.771
4/1/1965,57.334
7/1/1965,57.476
10/1/1965,58.023
1/1/1966,58.854
4/1/1966,59.429
7/1/1966,59.708
10/1/1966,59.56
1/1/1967,59.495
4/1/1967,59.138
7/1/1967,59.336
10/1/1967,59.606
1/1/1968,59.713
4/1/1968,60.284
7/1/1968,60.71
10/1/1968,61.087
1/1/1969,61.659
4/1/1969,62.23
7/1/1969,62.536
10/1/1969,62.359
1/1/1970,62.115
4/1/1970,61.308
7/1/1970,61.008
10/1/1970,60.545
1/1/1971,60.825
4/1/1971,61.026
7/1/1971,61.029
10/1/1971,61.682
1/1/1972,62.378
4/1/1972,62.831
7/1/1972,63.188
10/1/1972,63.853
1/1/1973,64.809
4/1/1973,65.486
7/1/1973,65.928
10/1/1973,66.259
1/1/1974,65.985
4/1/1974,66.164
7/1/1974,65.94
10/1/1974,64.863
1/1/1975,62.854
4/1/1975,62.28
7/1/1975,62.846
10/1/1975,63.917
1/1/1976,64.968
4/1/1976,65.004
7/1/1976,65.264
10/1/1976,65.614
1/1/1977,66.307
4/1/1977,67.564
7/1/1977,68.29
10/1/1977,68.964
1/1/1978,69.284
4/1/1978,71.301
7/1/1978,71.905
10/1/1978,72.775
1/1/1979,73.299
4/1/1979,73.532
7/1/1979,74.203
10/1/1979,74.373
1/1/1980,74.194
4/1/1980,72.854
7/1/1980,72.522
10/1/1980,73.497
1/1/1981,73.921
4/1/1981,73.978
7/1/1981,73.936
10/1/1981,73.613
1/1/1982,72.375
4/1/1982,72.708
7/1/1982,72.19
10/1/1982,71.517
1/1/1983,71.952
4/1/1983,72.79
7/1/1983,74.245
10/1/1983,75.639
1/1/1984,77.086
4/1/1984,78.09
7/1/1984,78.429
10/1/1984,78.94
1/1/1985,79.571
4/1/1985,80.114
7/1/1985,80.339
10/1/1985,80.742
1/1/1986,80.626
4/1/1986,80.407
7/1/1986,80.814
10/1/1986,81.422
1/1/1987,82.436
4/1/1987,82.909
7/1/1987,83.486
10/1/1987,84.348
1/1/1988,84.426
4/1/1988,85.613
7/1/1988,85.843
10/1/1988,86.808
1/1/1989,87.677
4/1/1989,88.016
7/1/1989,88.218
10/1/1989,88.222
1/1/1990,88.48
4/1/1990,88.096
7/1/1990,87.646
10/1/1990,87.271
1/1/1991,86.416
4/1/1991,85.874
7/1/1991,85.774
10/1/1991,85.629
1/1/1992,85.125
4/1/1992,85.455
7/1/1992,85.6
10/1/1992,86.151
1/1/1993,86.915
4/1/1993,87.897
7/1/1993,88.423
10/1/1993,89.264
1/1/1994,89.823
4/1/1994,91.28
7/1/1994,92.351
10/1/1994,92.742
1/1/1995,93.185
4/1/1995,93.051
7/1/1995,94.12
10/1/1995,94.361
1/1/1996,94.546
4/1/1996,95.431
7/1/1996,96.229
10/1/1996,97.324
1/1/1997,98.151
4/1/1997,98.626
7/1/1997,99.212
10/1/1997,99.684
1/1/1998,100.311
4/1/1998,100.826
7/1/1998,100.966
10/1/1998,102.209
1/1/1999,102.067
4/1/1999,102.629
7/1/1999,103.288
10/1/1999,103.726
1/1/2000,104.198
4/1/2000,104.497
7/1/2000,104.459
10/1/2000,104.104
1/1/2001,104.044
4/1/2001,103.051
7/1/2001,101.773
10/1/2001,100.639
1/1/2002,99.788
4/1/2002,100.048
7/1/2002,99.682
10/1/2002,99.806
1/1/2003,99.286
4/1/2003,98.998
7/1/2003,99.139
10/1/2003,99.617
1/1/2004,100.042
4/1/2004,100.129
7/1/2004,100.758
10/1/2004,101.291
1/1/2005,101.497
4/1/2005,102.09
7/1/2005,102.414
10/1/2005,103.03
1/1/2006,104.043
4/1/2006,104.367
7/1/2006,104.802
10/1/2006,105.245
1/1/2007,105.396
4/1/2007,105.925
7/1/2007,105.52
10/1/2007,105.152
1/1/2008,104.819
4/1/2008,104.251
7/1/2008,103.058
10/1/2008,100.199
1/1/2009,97.66
4/1/2009,95.376
7/1/2009,94.326
10/1/2009,94.213
1/1/2010,94.49
4/1/2010,95.288
7/1/2010,95.668
10/1/2010,96.143
1/1/2011,96.319
4/1/2011,97.344
7/1/2011,97.648
10/1/2011,98.49
1/1/2012,99.318
4/1/2012,99.49
7/1/2012,100.009
10/1/2012,100.586
1/1/2013,101.02
4/1/2013,101.435
7/1/2013,101.964
10/1/2013,102.239
1/1/2014,102.753
4/1/2014,103.568
7/1/2014,104.337
10/1/2014,105.505
1/1/2015,105.802
4/1/2015,106.209
7/1/2015,106.224
10/1/2015,106.909
1/1/2016,107.324
4/1/2016,107.648
7/1/2016,107.918
10/1/2016,108.014
1/1/2017,108.406
4/1/2017,109.17
7/1/2017,109.279
10/1/2017,110.147
1/1/2018,110.676
4/1/2018,111.186
7/1/2018,111.739
10/1/2018,112.027
1/1/2019,111.992
4/1/2019,112.161
7/1/2019,112.698
10/1/2019,112.463
1/1/2020,110.91
4/1/2020,95.565
7/1/2020,103.432
10/1/2020,105.817
1/1/2021,107.186
4/1/2021,108.768
7/1/2021,110.177
10/1/2021,111.386
1/1/2022,112.383
4/1/2022,113.2
7/1/2022,113.894
